,Title,URL,Address,Description,Class
482,(24 Hours)Small Hands Bright Minds Childcare,https://newyork.craigslist.org/brk/kid/d/24-hourssmall-hands-bright/6303975486.html,Brooklyn/ENY/Cypress Hills,"
        
Small Hands Bright Minds Childcare is enrolling for ages 1years and up. I'm NYS license by Dept of Health. I'm CPR/Aed trained, and I have also completed 45 hours of Health and Safety Training required for my license. I provide Home cook Meals and Healthy Daily snacks daily.  My Childcare program also includes Daily activities and a full learning curriculum that's includes ABCs,123s,Reading,Writing,Addition,
Subtraction etc. We also do outdoor activities that includes fun trips. My rates are VERY LOW AND REASONABLE with a starting rate of $65weekly. I'm guarantee you and your child/children will enjoy my program. I'm also enrolling for Afterschool care which includes local pickup, homework help, and activities.
 Contact me for more information or to view the premises.    ",a
484,Young Active  Jewish  Grandma will care for your children.,https://newyork.craigslist.org/que/kid/d/young-active-jewish-grandma/6303985846.html,"Forest Hills, Rego Park","
        
Young fun type Jewish grandma, will be happy to care for your children. I love to sing,dance,play most sports, swim, cook, and have a fun happy personality. Let's meet.    ",b
487,Childcare in my home,https://newyork.craigslist.org/lgi/kid/d/childcare-in-my-home/6304017859.html,Hicksville,"
        
Childcare in my home. Stay at home mom (Hicksville)

hello my name is Michell and I'm a stay at home mom with a 3 and a half year little girl. Who is looking into taking care of a few kids in my home. I have over 20 years experience in childcare with children ages newborn to 15 years old. I do fulltime part time after school seasonal or just a few hours. 7am-7pm Monday-Friday.Ages welcome is 6 weeks to 7 years old and any age for after school ages. My home is clean safe smoke free kid friendly and very family oriented. I have reasonable rates. I do a lot of educational lessons with the kids I do indoor outdoor motor skills reading writing spelling alphabets numbers colors shapes coloring arts and craft tummy time circle time and so much more to keep them busy and have fun. So contact me at anytime. Thank you!
    ",a
488,Angela's DAYCARE AND AFTERSCHOOL,https://newyork.craigslist.org/brk/kid/d/angelas-daycare-and/6304031411.html,Brooklyn,"
        
Now registering children for September program
Ages 6 wks - 12 years 
We teach ABC'S and 123'S  Reading skills Name recognition
Opening time 6 am- 6 pm
We are license by the Dept of Health And accept only HRA vouchers and Acs vouchers we can help in the voucher application 
Our program program will make your child ready for pre K
 PLEASE CALL
 
 
SERVICES;
HOT MEALS SERVED BREAKFAST ,LUNCH AND DINNER
MUSIC  DANCE ART AND CRAFT AND PRE SCHOOL CURRICULUM
    ",a
491,Childcare Services Inc,https://newyork.craigslist.org/brk/kid/d/childcare-services-inc/6294928478.html,Cypress Hills,"
        
New Head Start Program Registering  children 2yrs to 4 1/2 yrs old now  for September
 
We  will be teaching your child a preschool STEM based curriculum
 Me and my assistants will make learning fun
ABC'S and 123'S and puzzles Circle time  and recognizing their name and sight words 
We will visit the library and do community walks daily
Hot home cooked meals and snacks served daily
only HRA and ACS vouchers will be accepted
Hours 8am-6.00pm for more information please call us between 9am-5pm mon-Fri@ 
 
    ",a
492,Childcare Services .....,https://newyork.craigslist.org/jsy/kid/d/childcare-services/6278963214.html,jersey city,"
        
Hi parents I'm ms latrice a childcare provider/ license NANNY I'm CPR and certified  to care for kids in  my home on a weekly basis I provide  meals and daily learning.im ACCEPTING infants-TODDLERS between the hours of 8am-6pm please call for more information 
 
    ",a
495,AFTERSCHOOL   CHILDCARE   ............,https://newyork.craigslist.org/brk/kid/d/afterschool-childcare/6286434375.html,bayonne/nj,"
        
Aftterschool childcare 
 $60.00 include meals
 and home work help 
in my home  space  is
available


 
    ",a
498,Childcare Available in my Hauppauge Home,https://newyork.craigslist.org/lgi/kid/d/childcare-available-in-my/6304034650.html,Hauppauge and Surrounding Areas,"
        
Stay at home mom with a 9-year-old daughter, will care for your child/children in my clean/smoke free Hauppauge home.  I am a former teacher-aide for Jericho School District.  I have been fingerprinted & I am CPR Certified.  I am also a member of the Child Care Council of Suffolk.

I am available before or after school to put children on or off the bus as well.  (Hauppauge Schools.)

Indoor & outdoor play.   Large backyard with plenty of toys.  Age appropriate toys & games.

Reading time and educational videos. 

Separate nap areas.

Trips to the park/library etc.  I live across the street from a playground!

Accepting ages newborn - 12 years old


Flexible hours available. (FT/PT/Occasional Hours.) Saturdays/Sundays/nights as well.


I am loving, caring, creative & fun!


References available upon request.


If interested, please call Donna at (631)H 851-4499  or 
 
 C



    ",a
499,"***Hire our INCREDIBLE NANNY - Full or Part Time, Live-In***",https://newyork.craigslist.org/fct/kid/d/hire-our-incredible-nanny/6297391185.html,"Wilton, CT","
        
Our incredible Filipina nanny, who has been with us for over 17 years, is looking for a new full or part-time live-in nanny position in the Fairfield County area.   She is truly amazing - no words can really do her justice.  Since both my husband and I work, we were really in need of help, and throughout the years, Maria Theresa has been everything we could have asked for.   She is the kind of nanny that would braid our daughters' hair everyday before school, wake up early to cook special breakfasts on our children's birthdays, and hand-make ornaments for the Christmas tree each year.  Over the years, she has truly become part of our family and a loving ""aunt"" to our three children.  Now that our kids are grown up (our two eldest are off to college, youngest in high school), though, we have realized we unfortunately no longer need a full-time nanny at home.  Therefore, we are trying to find her a part or full time nannying position with another family in the Fairfield County area.  

Maria Theresa is one of the most loving, patient, and genuinely caring people we have ever known.  She is college educated and an excellent cook.  We cannot recommend her more highly.  

She is looking for a position in Fairfield County or Manhattan areas with mainly childcare duties (light housekeeping and cooking are ok, but she would like the focus of her job to be taking care of the children).    Of note, she does NOT drive.  

Please call Maria Theresa directly on her cell phone at 
 
.  If you would like to speak with us (the family), please send us an email using the Craigslist email address.  We would be more than happy to answer any questions you might have, either via email or on the phone.  Thank you!
    ",b
500,Free transportation/Flexible Hours/Flexible Days,https://newyork.craigslist.org/brk/kid/d/free-transportation-flexible/6287142867.html,East NY,"
        
Licensed Group Family Daycare offering child care service for children ages 6weeks to 12 years old

Hours flexible - we try our best to accommodate parent with unconentional hours 

Days- we provide weekend and holiday care (with prior notice)

We provide children with age appropriate play and lessons 

We offer a summer program

We provide meals and snack 

We provide FREE of low cost transportation (hours are limited)

We accept HRA, ACD voucher, and cash (fees are reasonable)

Space is limited
Call today for more information 
 
 or 
 

    ",a
504,Hot Oil Massages for Girls,https://newyork.craigslist.org/brx/kid/d/hot-oil-massages-for-girls/6291031975.html,"Bx, NY, Bk, Qe","
        
Hot Oil Massages for Girls
Deep-Tissue Massages, Bikini, Oil Baths and lots more
Luxury Parlor for Girls, Professional, Private, Very Discreet    ",c
508,Asian Breast Massage for Girls,https://newyork.craigslist.org/brk/kid/d/asian-breast-massage-for-girls/6264770946.html,"Bk, Bx, Qe, NY","
        
Asian Breast Massage for Girls
Full-Body Massages, Bikini, Oil Baths and lots more
Luxury Parlor for Girls, Professional, Private, Very Discreet    ",c
511,24/7 weekends,https://newyork.craigslist.org/mnh/kid/d/24-7-weekends/6281071807.html,manhattan,"
        
Hi parents I am blessed with kids.
I have the personality and the attitude to be able to work with children i understand that children  learn fast and one of the reasons they need to be in company of a person that cares about this and want to teach them right not wrong.

I am smart,kind and social,engaging babysitter I've work with all age children i babysit babys and toddlers I babysit in my home I am available now 

    ",b
512,Nanny Needed,https://newyork.craigslist.org/que/kid/d/nanny-needed/6295495644.html,Long Island,"
        
Full time or Part time jobs available.
Must have experience!

Call Absolute Best Care: 
 

NO FEE!    ",b
515,"Friday,Saturdays and Sundays in my home",https://newyork.craigslist.org/mnh/kid/d/fridaysaturdays-and-sundays/6270091025.html,manhattan,"
        
Hello Saturday in my home can babysit your child in morning and afternoons evening and nights
Meals provided.
I am sweet,reliable responsible,experienced,
trustworthy i love children and i take care of children very well.
I am available immediately.

    ",b
525,🎂EVENING/OVERNIGHT SITTER*TEACHING BACKGROUND*CPR*FINGERPRINTED,https://newyork.craigslist.org/mnh/kid/d/evening-overnight/6303418179.html,Manhattan,"
        
Hi there!

Thanks for stopping by. I'm a former NYC school teacher(graduate coursework in spcial education and reading development) I'm  an Upper West Side resident(fit and city savvy).  I have certification in CPR and I have fingerprint clearance(certificates for both). I would love to be part of your children's lives.
I've been babysitting since my teens. My babysitting experience has been with pre schoolers, but I can also help older children  interested in the arts- I'm an accomplished photographer.

I'm mature and responsible, but I also know how to have a good time with kids. 

I have a very flexible schedule. I can travel to your home or hotel within certain limits(reimbursement for carfare). 

Resume and references upon request.

Available ASAP. 

When replying please state: schedule, number and ages of children, and job
expectations.

Best,
Barbara



    ",b
526,$40 free Babysitting or Nanny Service,https://newyork.craigslist.org/mnh/kid/d/40-free-babysitting-or-nanny/6285048669.html,Upper West Side,"
        
Get $40 free babysitting 

Download App from 
and Use Promocode CRAIGSNY and get $40 free credit for getting a babysitter.
No Subscription fees, no recurring fees, no strings attached.

Find the most trustworthy babysitters in all of Upper West Side,
Review Profiles, Access Background checks for free, Do video interviews, Calls, pay with your credit card on the app.


Babysitters and Nannies near you
    ",b
527,EXPECTING A BABY & SEEKING AFFORDABLE CHILD CARE IN MURRAY HILL?,https://newyork.craigslist.org/mnh/kid/d/expecting-baby-seeking/6292882974.html,Murray Hill,"
        
We are expectant professional parents, baby due in late January, seeking to meet similarly situated expectant parents to plan for a nanny share. 

We are posting this now because we are learning how difficult and expensive trustworthy childcare is to secure. Because we both work long hours, it appears that most group childcare will be impractical for us. (Most childcare facilities close at 6pm or so.) The cost of a private nanny seems prohibitive and, perhaps, even undesirable. So we are seeking to meet other expectant parents who are in a similar situation and, perhaps, agree to share a nanny in the neighborhood. 

We live at 40th street and Second Avenue and looking to meet another family -very- close by to us: We are thinking of an area bounded north by 44rd Street and south by 37th Street, and from First Avenue to Third Avenue. We hope to meet a happy, thoughtful, professional married couple for this purpose.

Please write to us if this seems an arrangement you may be interested in. Please also feel free to share any information or advice on this subject that you may have. We would very much appreciate it.

    ",b
528,🍼Childcare/Babysitter🍼,https://newyork.craigslist.org/wch/kid/d/childcare-babysitter/6295701216.html,"Bedford, Mt Kisco","
        
🎀Very loving and caring Grandmother with many years of experience is interested in watching your baby or toddler in your home.
I am reliable, energetic, trustworthy and available weekdays.
I have lots of experience and can provide references.
Speaks English, non smoker and own car.🎀    ",b
529,SHEPHERD AVENUE DAYCARE GRAND OPENING,https://newyork.craigslist.org/brk/kid/d/shepherd-avenue-daycare-grand/6303466982.html,PICK UP AND DROP OFF SERVICE AVAILABLE UPON REQUEST,"
        
I offer a smoke free, safe, loving, educational environment.
 We introduce the children to a learning environment that prepares them for Kindergarten.
 Large fenced backyard with a play structures and plenty of outdoor toys.
 Daily outings to playgroups, parks and the library.
 Balanced homemade meals and healthy snacks with a display of my weekly menu.
 CPR/First Aid certified.
 Reasonable rates.
 Extended hours (early morning, evenings.
*$165 per week for children 6 weeks to 4 years old and $100 per week for children 5 yrs to 12 yrs old.
 Part time and drop-In available. 
21 years of childcare experience.

CONTACT 
 
    ",a
532,Seeking Au Pair/Nanny in Midtown East with Free Room Provided on UES,https://newyork.craigslist.org/mnh/kid/d/seeking-au-pair-nanny-in/6290992445.html,Midtown,"
        
We are looking for childcare starting in February 2018 for an infant aged 6-8 weeks old. We live in Midtown East, but also have an apartment in a walk-up building on the Upper East Side. You would live in our Upper East Side place, rent free. You will have one of the bedrooms and access to a shared full kitchen & bathroom. The other room is occupied by a housemate, who is older, a professional, and very nice.
 
You would provide childcare during the day at our Midtown apartment. Hours will be around 10am to 7pm from Monday through Friday, with some flexibility for both us and for you. No service is required on weekends. 
 
Please get in touch with us if this interests you. In order for you to get a full sense of what the arrangement would be like, we would like to start with an in-person interview. This will give us both an opportunity to get to know each other, and also give you an idea of what it would be like living in the Upper East Side while working in Midtown -it is a very easy commute.

*Please include your contact information. Please also provide to us your salary requirements or indicate your considerations, taking into account that a room is provided for you.    ",b
533,♥♥♥Around the Clock Day Care♥♥♥,https://newyork.craigslist.org/brx/kid/d/around-the-clock-day-care/6303494452.html,Bronx,"
        
OPEN HOUSE 
                                                                           709 E. 175 STREET BRONX, NY 10457
                                                                                          
 


*****Can't make it to the open house, call and make an appointment, we will work with your schedule.*****

Dear Parents,

I would like to take this opportunity to invite all parents to come and visit Around the Clock Academy a licensed group family daycare in the Bronx. The space will be limited due to the unique services we will provide to both parents and children. 


We are a group family daycare and we are both CPR and First Aide certified by the American Red Cross. 

The daycare will be accepting children from 6 weeks to twelve years old. We will have seperate areas for the infants from 6 weeks to 1 year old and a toddler area for children 2 years old to 5 years old. We will also be providing an after school program. There will be pick up from the school available. We also have a computer lab and will provide the after school program with homework help.


♥Educational Curriculum



♥Meals and Snacks



♥Arts and Crafts Activities/Projects



♥Circle Time, Story Telling



♥Puppet Show



♥Potty Training



♥Computer Time  



♥Literacy and Numeracy



♥Reading, Your Baby Can Read Program



Our services will be provided in a private home that has been inspected and approved by the Department of Health, childproof and where the children will have designated areas accordingly to their age group. They will have their own bathroom, sleeping area and backyard for play during the spring and summer months. In the summer we will be running a fun and very exciting summer program filled with activities and trips. The facility is secured with alarm system, smoke and carbon monoxide detectors. The children will also benefit from central air conditioning system for the hot summer months. 

At the daycare we will be working with educated and qualified staff that will be working together as a team to provide quality services to your children and make every day a Good Day. We will be utilizing a curriculum to work with the children, this will not only be play but a learning environment filled with fun. We will make learning fun for the children utilizing a creative curriculum that will give them a firm foundation in their education and make their transition to kindergarten as smooth as possible. It is a fact that has been proven by research that children learn and develop the most from the ages from birth to five years old. This being said lets get to work and work together as a team to help these children get a great start in life. We will together develop individual goals for each child to assist he/she achieve their age appropriate developmental milestones. Therefore, we can together measure the child's progress. You will also receive a quarterly progress report indicating the child's progress and areas of need.

We are Open Monday-Friday 7am-6pm!

*****ALL  VOUCHERS & PRIVATE PAY ACCEPTED*****
*****ALL  MEALS & SNACKS  PROVIDED*****
*****TRANSPORTATION AVAILABLE******

***School Drop Off and Pick Up in 10457/10460 zip codes***

If interested give Ms. Perez a call at 
 
.
Feel free to visit our website at 


(Corner of 175 Street & Crotona Ave)    ",a
535,*  THE BEST NANNY AGENCY NEW YORK NY ABIGAIL MADISON AGENCY * NYC,https://newyork.craigslist.org/mnh/kid/d/the-best-nanny-agency-new/6290659906.html,"NEW YORK, CT AND NJ!","
        
www.AMStaffing.Biz
AbigailMadisonAgency     (((at)))      gmail
At Abigail Madison we provide the highest quality home staffing services including nannies, housekeepers, chefs, newborn specialists, tutors and personal assistants for all types of households with differing needs. AbigailMadisonAgency     (((at)))      gmail

BILINGUAL NANNIES & TUTORS!Armenian Assamese Assyrian Albanian Arabic Azerbaijani Belarusan Bengali Bosnian Bulgarian Cambodian Cantonese Catalan Chinese Creole Croatian Czech Danish Dari Dutch English Estonian Farsi Finnish Flemish French Georgian German Greek Gujarati Hebrew Hindi Hmong Hungarian Icelandic Indonesian Italian Japanese Kazakh Khmer Kongo Korean Kurdish Laotian Latin Latvian Lithuanian Macedonian Malay Maltese Mandarin Moldavian Mongolian Nepali Nigerian Norwegian Persian Polish Portuguese Punjabi Pushtu Romanian Russian Samoan Serbian Sinhalese Slovak Slovenian Somali Spanish Swahili Swedish Tagalog Tajik Taiwanese Tamil Tatar Thai Turkish Twi Ukrainian Urdu Uzbek Vietnamese Yiddish Zulu and more. 



'Abigail Madison Nanny and Household Staffing, Inc.' is a family owned and operated personal staffing agency serving New York, Connecticut, Florida, California and 40+ other states! While our agency is new, we have over 20 years of experience in a variety of head hunting and personal service positions. We pre-screen all candidates and find you the right staff, tailored to your needs! We guarantee an excellent fit with a nanny, housekeeper, laundress, chef, personal assistant, governess, tutor, butler, groundskeeper, domestic couple, baby nurse, tennis instructor, teacher, personal shopper, family assistant, babysitter, companions, social secretary, travel nannies and we also offer emergency babysitting services! Please call to ask us for details!    ",b
541,Licensed Daycare Opening,https://newyork.craigslist.org/fct/kid/d/licensed-daycare-opening/6303538331.html,"Stamford, CT","
        
Openings now available for Jill's Jamboree, in-home, state-licensed daycare for 20+ years, in Glenbrook, CT .  All ages considered, work with state programs.  Call Jill at 
 
 (or 
 
) for more information and/or to discuss options.

(Please, no calls or emails looking for work, I am offering services, not looking to hire.)    ",a
542,(24 hours) Small Hands Bright Minds Childcare,https://newyork.craigslist.org/brk/kid/d/24-hours-small-hands-bright/6303537034.html,Brooklyn/ENY/Cypress Hills,"
        
Small Hands Bright Minds Childcare is enrolling for ages 1years and up. I'm NyS license by Dept of Health. I'm CPR/Aed trained, and I have also completed 30 hours of Health and Safety Training required for my license. I provide Home cook Meals and Healthy Daily snacks. My Childcare program also includes Daily activities and a full learning curriculum that's includes ABCs,123s,Reading,Writing,Addition,
Subtraction etc. We also do outdoor activities as well that includes trips. My rates are VERY LOW AND REASONABLE starting at $100 weekly. I'm guarantee you and your child/children will enjoy my program. Each paarent that enrolls with me receives a coupon book of savings on childcare. Afterschool is also available with pickup from local schools. During Afterschool care we do activities that include cooking class,chess, dance, and much more plus homework help. Contact me for more information or to view the premises space is limited so call asap to secure a spot.    ",a
543,Nanny Available,https://newyork.craigslist.org/mnh/kid/d/nanny-available/6281946976.html,TriBeCa,"
        
Young woman with 14 years of nanny experience with newborns to teens. Seeking a Monday to Friday live out position to care for your little ones and make life easier for you.  CPR certified and up to date with all immunization shots.
Please contact via ad. References available upon request.
    ",b
549,"NANNY AVAILABLE - Mature, Energetic South African (English/Afrikaans)",https://newyork.craigslist.org/mnh/kid/d/nanny-available-mature/6303554948.html,Upper East Side,"
        
Hello hello,

I am Nicole, sunflower by day analytical artist by night.

With 3 Nieces and 3 Nephews, aged 12, 8, 4, 3,3, and 8 months I have managed to rack up a good amount of care taking experience as well as the patience of a saint :) and since you can't choose your family, it teaches you to love and care unconditionally - love that as extended to few other family and friends whose children I've had the opportunity to care for whilst back home in South Africa.

I would love to be able to do the same while here in America while I get to explore and get to experience my first white Christmas.

What I have to offer :

Hugs (a lot of them), as well as care, structure, discipline and a great environment to learn and grow. I understand that all children have different personalities and I endeavor to treat them accordingly.

I am constantly amazed at children's ability to absorb information so easily at a young age and thus always use every activity as an opportunity to teach. I believe that my background as a graphic designer combined with my love for education has allowed for me to be able to use lateral thinking and creativity as an advantage in advancing little humans, not only in developing their minds but developing their personalities too.

If you are interested in hiring me please do not hesitate to contact me at any time, I am available as live in / live out at $20 an hour

Take Care    ",b
550,Nanny / BabySitter looking for a nice family to work with,https://newyork.craigslist.org/mnh/kid/d/nanny-babysitter-looking-for/6303536811.html,SoHo,"
        
To whom it may concern,

My name is Juliana and I'm looking for a Nanny/Babysitter job position, full-time or part-time, anywhere in Manhattan, Brooklyn or Queens. 

I am a responsible nanny/babysitter with experience caring for children of all ages, full-time or part-time. Including weekends, evenings and summer and winter breaks. Skilled in creating fun, engaging and educational activities while demonstrating priority in children's safety and well-being. Trusted by parents, with mutual loving affection for all cared children. I'm in this business for 4 years now. 

Reply this ad if you are interested in my services.
Please send informations about you, your family and of course, the child I will be responsable for. Such as your location, your needs and how much you can pay me weekly or monthly. 

Thank you.    ",b
551,Earn $14-$22 hr Income From Home Teaching English,https://newyork.craigslist.org/brx/kid/d/earnhr-income-from-home/6303588675.html,Surrounding,"
        
The Opportunity:

(NOTE: YOU MUST HAVE AT LEAST A BACHELORS DEGREE TO BE ACCEPTED)

The future is here! Join a fast growing community of elite educators who are teaching right from their home. As an independent contractor, you will be matched 1:1 with Chinese students on our secure virtual learning platform to teach English online. You can make your own schedule and use VIPKID resources to instruct - no lesson planning required!

This opportunity is for you if you have a strong teaching background, are energetic, engaging, and self-motivated. If you consider yourself a global educator and are excited about the use of technology to connect the world, then this is a match. Partner with us and help change the face of online learning.

About VIPKID
We have offices in Beijing, Shanghai, and San Francisco and have over 100,000 students and 10,000 teachers on the VIPKID platform. Founded in 2013, VIPKID has won several awards including CY Zone's Top 100 Chinese Companies, Top 21 Global Innovation Companies, and the US-China Entrepreneurship Leader Award. We have strategic partnerships with ETS, Coursera, and TESOL, and are venture backed by top investors, such as Innovation Works, Sequoia Capital, Matrix Partners, Northern Light Venture, Yunfeng Capital, Learn Capital, and Kobe Bryant's fund, Bryant Stibel.

We pride ourselves on giving Chinese children the American elementary school experience.

The Work
- 1-on-1 online full immersion English language and content classes
- An American curriculum, based on the Common Core State Standards
- 25-minute highly engaging lessons

Requirements
- Exposure to the American or Canadian K-12 education system
- Minimum 1 year of teaching experience
- Bachelor's degree
- Tech Requirements: Desktop or Laptop with a fast internet connection and audio/video capability

Opportunity Details

Contract type: Independent contractor
Contract term: 6-Months
Start date: Immediately
Hours: In order to maximize the number of classes scheduled, teachers are recommended to be available for at least 15 time slots per week (each time slot is 30 minutes) during Beijing peak times. The following hours tend to be the most requested time periods from our families: Monday-Sunday 6-10pm, and Saturday-Sunday 9am-10pm in Beijing time.

Here are the times converted to US time:

US Times Monday~Friday
Beijing 6pm ~10pm Saturday
Beijing 9am ~10pm Sunday
Beijing 9am ~10pm
EST 6am ~ 10am Fri 9pm~Sat 10am Sat 9pm~Sun 10am
CST 5am ~ 9am Fri 8pm~Sat 9am Sat 8pm ~Sun 9am
MST 4am ~ 8am Fri 7pm~Sat 8am Sat 7pm~Sun 8am
PST 3am ~ 7am Fri 6pm~Sat 7am Sat 6pm~Sun 7am
Hawaii 1am ~ 5am Fri 4pm~Sat 5am Sat 4pm~Sun 5am

Payment: Our teachers are paid according to the number of classes finished. The minimum service fee rate range is US$ 14-$18/hour. There are incentives for every lesson, so a typical service fee ranges between US$ 14-22/hour. This business opportunity is ideal for independent contractor teachers looking to supplement their income.

HOW TO APPLY
Please apply through our Teacher Recruitment Portal:     ",c
552,Am a Braider and I have openings this week,https://newyork.craigslist.org/mnh/kid/d/am-braider-and-have-openings/6303567504.html,,"
        
We do box braids small medium and large
Cornrows : freestyles two Braids
Lemonade Braids 
Feeding Braids
Eyelashes:$20
Eyebrows:$5.00
Ask for raychelle the Braider 
Buses are : 31,08,21,24,4,4A,
Train : #6
Text or call 
 
.
Cheap prices book up fast
Serious inquiry only.
Thank for looking.
    ",c
553,Loving and exp. nanny offers infant care.,https://newyork.craigslist.org/que/kid/d/loving-and-exp-nanny-offers/6303597632.html,Bayside,"
        
Hello Working Parents:

I am an experienced nanny with a resume, seeking a part-time or full-time nanny job in Bayside, Bay Terrace, or Oakland Gardens.
Can also watch your child in my Bayside home. Reasonable rates. 

I have been a nanny for the past 9+ years, and offer stellar references from 4 families. About me:

KEY QUALIFICATIONS

* 9+ years of work experience as a nanny with a family.
* Strong ability to bond with baby or child and form a trusting relationship.
* Excellent knowledge of playtime, reading, and various activities for child.
* Committed to working energetically for child's mental and physical advancement and well-being.
* Ability to take care of both newborns and toddlers.
* Enjoys cooking!

If you feel we would be a good fit, please call, text, or email.    ",b
555,WONDERFUL RELIABLE nanny/housekeeper,https://newyork.craigslist.org/mnh/kid/d/wonderful-reliable-nanny/6303603031.html,MANHATTAN,"
        
University educated with medical  background as well (a nurse), very responsible, trustworthy reliable nanny/houskeeper looks for live-out position. 
I have 19 years of experience taking care of kids since born to school-aged, caring for 2,3 kids at a time. I'm very warm, nurturing, loving,dedicated, skilled,efficient,  patient nanny, able to resolve any problems. I provide complete care, including cooking, laundry, age-appropriate activities etc.
I'm hard-working, energetic, very neat and organized person.
If this sounds like something you are interested in,  please, send me an email with information about your location, schedule, compensation, number of kds.
Thank you in advance. 

    ",b
556,Child care weekends,https://newyork.craigslist.org/mnh/kid/d/child-care-weekends/6268632087.html,Upper west side close to 125th,"
        
Hi i am experienced babysitter
I can start this weekend on friday or saturday I am available full time part time overnights and for the entire weekend friday-sunday
I am sweet,professional,trustworthy and reliable I provide babysitting in my home sunday evenings and nights aswell
0-2 years old 

Contact me
    ",b
557,Kids Tennis Lessons by appointment,https://newyork.craigslist.org/mnh/kid/d/kids-tennis-lessons-by/6303612372.html,Manh & BK,"
        
Certified full time tennis pro with 15 years experience makes learning tennis fun.
Can use your neighborhood handball court/playground with portable net, ... or use full sized court.
Lessons that fits your schedule...
Age appropriate group or private lessons, age 4 and up.
Top instruction at an inexpensive price.
Build a solid foundation for the rest of your child's tennis life !
Have fun !

:)    ",c
565,"After-school babysitter needed, College student preferred",https://newyork.craigslist.org/mnh/kid/d/after-school-babysitter/6302838496.html,Upper West Side,"
        
I am looking for an afterschool sitter for my daughter, age 5. I am in need of a sitter for Tuesdays after school. The hours are 2:30-4:30. It would be pick up at her Upper West Side school and bring her to her after-school activity. I am willing to pay $20/hour plus metro card fare to bring her to her activity.

My daughter is well-behaved and respectful of adults. We are seeking someone who is kind and energetic.

Please let me know if you are interested, and thank you for considering.


    ",b
566,"LOVING WOMAN WITH CHILD DEV DEGREE, SEEKING PART TIME POSITION!",https://newyork.craigslist.org/wch/kid/d/loving-woman-with-child-dev/6302830497.html,35 MINUTE MAX RIDE FROM THE DANBURY AREA,"
        
Hello families!

I have my Degree in Child Development with over 30+ years caring for children from newborns to Teens!

I am seeking a Part time, Year Round position, A.S.A.P!

Looking for 20-25 hours M-F (Can be very flexible)
NO split shifts please.

Prefer morning to afternoon hours, but not a must!

Also available for all school closings, sick days, half days, and occasional weekends.

I have an excellent work as well as personal reputation in the Local area, spotless driving record/background, very organized, born and raised in the area, honest, very active, Extremely Reliable, with excellent morals and values!


I am VERY familiar with the toddler stage, I love to keep them busy, engaged, and having fun. 
I am always up for the Aquarium, Parks, Library, or driving to already scheduled activities. 
I am also VERY familiar with the after school routine, driving to activities not a problem! 


I have extensive experience with all ages, Newborns, Toddlers, Elementary aged, as well as ""Tweens"" and Teens!
I have no preference, I have experience with, and love them all!


Being a nanny is not just a job for me, it is my passion and career, and after 30+ yrs I still love what I do, and it shows!!


If interested in speaking further, please let me know a little bit about the position, as well as what town you live in, and I will get back to you A.S.A.P!

I am sure after speaking/meeting me, you will feel very confident that your child(ren) are in the most Loving, Safe and Best care possible!

Many Thanks and Warm Regards!

 35 minute max ride from the Danbury area!    ",b
567,"EXCEPTIONAL CAREER NANNY W/ CHILD DEV DEGREE, SEEK P/T POSITION!",https://newyork.craigslist.org/fct/kid/d/exceptional-career-nanny/6302832460.html,RIDGEFIELD/REDDING/ DANBURY/BROOKFIELD,"
        
Hello families!

I have my Degree in Child Development with over 30+ years caring for children from newborns to Teens!

I am seeking a Part time, Year Round position, A.S.A.P!

Looking for 20-25 hours M-F (Can be very flexible)
NO split shifts please.

Prefer morning to early afternoon, BUT not a must!

Also available for all school closings, sick days, half days, and occasional weekends.

I have an excellent work as well as personal reputation in the Local area, spotless driving record/background, very organized, born and raised in the area, honest, very active, Extremely Reliable, with excellent morals and values!


I am VERY familiar with the toddler stage, I love to keep them busy, engaged, and having fun. 
I am always up for the Aquarium, Parks, Library, or driving to already scheduled activities. 
I am also VERY familiar with the after school routine, driving to activities not a problem! 


I have extensive experience with all ages, Newborns, Toddlers, Elementary aged, as well as ""Tweens"" and Teens!
I have no preference, I have experience with, and love them all!


Being a nanny is not just a job for me, it is my passion and career, and after 30+ yrs I still love what I do, and it shows!!


If interested in speaking further, please let me know a little bit about the position, as well as what town you live in, and I will get back to you A.S.A.P!

I am sure after speaking/meeting me, you will feel very confident that your child(ren) are in the most Loving, Safe and Best care possible!

Many Thanks and Warm Regards!

Ridgefield, Redding, Wilton (May go further for a great fit)
Danbury, Brookfield, and ALL surrounding areas!    ",b
568,licensed home daycare open house today from 4:30-5:30,https://newyork.craigslist.org/fct/kid/d/licensed-home-daycare-open/6302754824.html,stamford ct,"
        
licensed home daycare located in Stamford, CT has one spot left 
Now booking  for September 
CPR/First Aid
great location as well as great rates
small group children learn while having fun
outdoor play 
story and song time
colors numbers and shapes
potty training
rest/nap time
daily sheets handed out on your child's day
crafts done daily 
and so much more
please contact Kim for more info @ 
 

please note do to scams I will not respond to emails 
Thank you and I look forward to speaking with you    ",a
